model,type,roc_auc,pr_auc,recall,precision,f1,fn,fp,threshold,cost_fn_usd,cost_fp_usd,cost_total_usd,slo_ok
RandomForest,baseline,0.9614564131855197,0.9579328340013116,0.9956772334293948,0.7228033472803347,0.8375757575757574,3,265,0.11,8709.0,13250.0,21959.0,True
GradientBoosting,baseline,0.969569713806025,0.9693454348491438,0.9827089337175793,0.8071005917159764,0.8862897985705003,12,163,0.1,34836.0,8150.0,42986.0,True
LogisticRegression,baseline,0.9424280187968949,0.9415958006325128,0.9798270893371758,0.7195767195767195,0.8297742525930446,14,265,0.1,40642.0,13250.0,53892.0,True
MLP_posweight_alto,MLP (PyTorch),0.9547126377097559,0.9504433728967365,0.9697406340057637,0.8277982779827798,0.8931652289316523,21,140,0.16999999999999998,60963.0,7000.0,67963.0,True
DummyClassifier,baseline,0.500659881783801,0.5106243418716274,0.5043227665706052,0.5109489051094891,0.5076142131979695,344,335,0.1,998632.0,16750.0,1015382.0,False
